Country,Country_code,GDP_2012,GDP_2015,GDP_2018,Maths_2012,Maths_2015,Maths_2018,Science_2012,Science_2015,Science_2018,Reading_2012,Reading_2015,Reading_2018
Albania,ALB,10526.23545,11662.03048,13364.1554,394.0,413.0,437.0,397.0,427.0,417.0,394.0,405.0,405.0
Algeria,DZA,13482.72112,14711.22085,15481.78762,367.0,360.0,,384.0,376.0,,365.0,350.0,
Argentina,ARG,19764.22501,20551.83319,20610.56855,403.0,409.0,379.0,417.0,432.0,404.0,411.0,425.0,402.0
Australia,AUS,42826.78958,46276.15069,51663.36509,504.0,494.0,491.0,521.0,510.0,503.0,512.0,503.0,503.0
Austria,AUT,46457.34578,49879.26647,55454.68929,506.0,497.0,499.0,506.0,495.0,490.0,490.0,485.0,484.0
Azerbaijan,AZE,16193.39567,17973.09067,18044.13678,,,420.0,,,398.0,,,389.0
Belarus,BLR,17807.41774,18389.74375,19994.80408,,,472.0,,,471.0,,,474.0
Belgium,BEL,42290.76205,46213.26653,51407.99834,515.0,507.0,508.0,505.0,502.0,499.0,509.0,499.0,493.0
Bosnia and Herzegovina,BIH,10304.01646,12013.9825,14623.67405,,,406.0,,,398.0,,,403.0
Brazil,BRA,15506.55426,15813.85544,16096.40096,389.0,377.0,384.0,402.0,401.0,404.0,407.0,407.0,413.0
Bulgaria,BGR,16208.22043,18186.48723,21960.36994,439.0,441.0,436.0,446.0,446.0,424.0,436.0,432.0,420.0
Canada,CAN,42189.19611,44567.86635,48130.25597,518.0,516.0,512.0,525.0,528.0,518.0,523.0,527.0,520.0
Chile,CHL,21507.7074,22688.01003,25222.52778,423.0,423.0,417.0,445.0,447.0,444.0,441.0,459.0,452.0
Colombia,COL,12226.28584,14006.15358,15012.93027,376.0,390.0,391.0,399.0,416.0,413.0,403.0,425.0,412.0
Costa Rica,CRI,14041.99378,15610.87955,17671.09535,407.0,400.0,402.0,429.0,420.0,416.0,441.0,427.0,426.0
Croatia,HRV,21136.4033,23013.62205,27579.78083,471.0,464.0,464.0,491.0,475.0,472.0,485.0,487.0,479.0
Cyprus,CYP,31834.49956,31722.36651,38513.28457,446.0,437.0,451.0,449.0,433.0,439.0,449.0,443.0,424.0
Czech Republic,CZE,29047.24644,33691.42424,39743.59709,499.0,492.0,499.0,508.0,493.0,497.0,493.0,487.0,490.0
Denmark,DNK,44803.96824,49058.50107,55671.16527,500.0,511.0,509.0,498.0,502.0,493.0,496.0,500.0,501.0
Dominican Republic,DOM,11979.70226,14555.74119,17748.18532,404.0,328.0,325.0,406.0,332.0,336.0,412.0,358.0,342.0
Estonia,EST,26190.55295,29397.12984,35973.77646,521.0,520.0,523.0,541.0,534.0,530.0,516.0,519.0,523.0
Finland,FIN,40873.09533,42535.47517,48416.93603,519.0,511.0,507.0,545.0,531.0,522.0,524.0,526.0,520.0
France,FRA,37679.12178,40833.24207,45342.39574,495.0,493.0,495.0,499.0,495.0,493.0,505.0,499.0,493.0
Georgia,GEO,8627.623156,10081.43513,12004.57383,466.0,404.0,398.0,468.0,411.0,383.0,468.0,401.0,380.0
Germany,DEU,43359.61483,47683.7886,53074.54012,514.0,506.0,500.0,524.0,509.0,503.0,508.0,509.0,498.0
Greece,GRC,25284.46408,26902.52532,29592.15242,453.0,454.0,451.0,467.0,455.0,452.0,477.0,467.0,457.0
Hungary,HUN,23148.12788,26668.04088,31102.50275,477.0,477.0,481.0,494.0,477.0,481.0,488.0,470.0,476.0
Iceland,ISL,41926.34194,48728.09936,57303.06078,493.0,488.0,495.0,478.0,473.0,475.0,483.0,482.0,474.0
Indonesia,IDN,9444.948401,11063.06221,13079.6193,375.0,386.0,379.0,382.0,403.0,396.0,396.0,397.0,371.0
Ireland,IRL,46256.56888,69056.04604,83203.39468,501.0,504.0,500.0,522.0,503.0,496.0,523.0,521.0,518.0
Israel,ISR,31693.91787,35436.81087,39919.16965,466.0,470.0,463.0,470.0,467.0,462.0,486.0,479.0,470.0
Italy,ITA,36486.29679,36909.32837,41830.42633,485.0,490.0,487.0,494.0,481.0,468.0,490.0,485.0,476.0
Japan,JPN,37191.38595,40396.24321,42797.45852,536.0,532.0,527.0,547.0,538.0,529.0,538.0,516.0,504.0
Jordan,JOR,9151.732473,9089.006864,9478.904588,386.0,380.0,400.0,409.0,409.0,429.0,399.0,408.0,419.0
Kazakhstan,KAZ,22407.98331,25123.31799,27879.75195,432.0,460.0,423.0,425.0,456.0,397.0,393.0,427.0,387.0
Kosovo,XKX,8547.652384,9781.019679,11348.36345,371.0,362.0,366.0,380.0,378.0,365.0,360.0,347.0,353.0
Latvia,LVA,21291.1197,24830.93429,30304.8525,491.0,482.0,496.0,502.0,490.0,487.0,489.0,488.0,479.0
Lebanon,LBN,13610.88835,12695.41014,13081.10746,454.0,396.0,393.0,457.0,386.0,384.0,442.0,347.0,353.0
Lithuania,LTU,24645.56909,28823.81289,35461.3591,479.0,478.0,481.0,496.0,475.0,482.0,477.0,472.0,476.0
Luxembourg,LUX,91622.17742,103750.7751,113337.4205,490.0,486.0,483.0,491.0,483.0,477.0,488.0,481.0,470.0
Malaysia,MYS,23105.07529,27116.57626,31782.15336,421.0,446.0,440.0,420.0,443.0,438.0,398.0,431.0,415.0
Malta,MLT,29437.16903,36195.56319,42581.09786,442.0,479.0,472.0,436.0,465.0,457.0,427.0,447.0,448.0
Mexico,MEX,17162.92752,18284.88284,19844.64567,413.0,408.0,409.0,415.0,416.0,419.0,424.0,423.0,420.0
Moldova,MDA,5079.416347,6082.841894,7271.641919,415.0,420.0,421.0,418.0,428.0,428.0,420.0,416.0,424.0
Montenegro,MNE,13863.88105,16337.25379,20689.98675,410.0,418.0,430.0,410.0,411.0,415.0,422.0,427.0,421.0
Morocco,MAR,6940.434737,7822.968048,8611.709833,,,368.0,,,377.0,,,359.0
Netherlands,NLD,47272.10302,50302.06775,56328.94114,523.0,512.0,519.0,522.0,509.0,503.0,511.0,503.0,485.0
New Zealand,NZL,32986.18289,37475.17836,41005.42087,500.0,495.0,494.0,516.0,513.0,508.0,512.0,509.0,506.0
North Macedonia,MKD,11839.61687,13831.22799,16358.66205,,,394.0,,,413.0,,,393.0
Norway,NOR,65354.77925,60385.11676,65510.58527,489.0,502.0,501.0,495.0,498.0,490.0,504.0,513.0,499.0
Panama,PAN,18806.56302,22237.09305,25553.69671,,,353.0,,,365.0,,,377.0
Peru,PER,11400.33573,12944.82234,14418.07067,368.0,387.0,400.0,373.0,397.0,404.0,384.0,398.0,401.0
Philippines,PHL,6081.936667,7313.409805,8951.085654,,,353.0,,,357.0,,,340.0
Poland,POL,23833.2097,26856.03522,31336.6035,518.0,504.0,516.0,526.0,501.0,511.0,518.0,506.0,512.0
Portugal,PRT,26438.0163,29668.8592,33415.4379,487.0,492.0,492.0,489.0,501.0,492.0,488.0,498.0,492.0
Qatar,QAT,122674.7237,123822.0833,126898.4259,376.0,402.0,414.0,384.0,418.0,419.0,388.0,402.0,407.0
Romania,ROU,18931.5325,21631.77015,28206.35705,445.0,444.0,430.0,439.0,435.0,426.0,438.0,434.0,428.0
Saudi Arabia,SAU,50491.5474,53897.94398,55335.67959,,,373.0,,,386.0,,,399.0
Serbia,SRB,13933.83821,14922.13735,17434.91613,,,448.0,,,440.0,,,439.0
Singapore,SGP,78978.82285,89007.4608,101531.6302,573.0,564.0,569.0,551.0,556.0,551.0,542.0,535.0,549.0
Slovenia,SVN,29042.82027,31636.75003,38048.78466,501.0,510.0,509.0,514.0,513.0,507.0,481.0,505.0,495.0
Spain,ESP,31720.12,34912.47613,39715.43906,484.0,486.0,481.0,496.0,493.0,483.0,488.0,496.0,
Sweden,SWE,45304.41571,48975.00451,53208.88436,478.0,494.0,502.0,485.0,493.0,499.0,483.0,500.0,506.0
Switzerland,CHE,57849.57204,63938.98939,68060.94105,531.0,521.0,515.0,515.0,506.0,495.0,509.0,492.0,484.0
Thailand,THA,14727.14305,16293.6098,19051.33338,427.0,415.0,419.0,444.0,421.0,426.0,441.0,409.0,393.0
Trinidad and Tobago,TTO,31770.1904,33698.66655,32014.78313,427.0,417.0,,436.0,425.0,,433.0,427.0,
Tunisia,TUN,10642.5379,11598.86038,12502.82019,388.0,367.0,,398.0,386.0,,404.0,361.0,
Turkey,TUR,20616.86987,25625.57463,28068.85941,448.0,420.0,454.0,463.0,425.0,468.0,475.0,428.0,466.0
Ukraine,UKR,8481.779747,7972.435611,9249.462135,,,453.0,,,469.0,,,466.0
United Arab Emirates,ARE,58961.20201,70212.09301,75075.25741,434.0,427.0,435.0,448.0,437.0,434.0,442.0,434.0,432.0
United Kingdom,GBR,38311.84608,42509.88817,45973.5735,494.0,492.0,502.0,514.0,509.0,505.0,499.0,498.0,504.0
United States,USA,51603.49726,56803.47243,62794.58565,481.0,470.0,478.0,497.0,496.0,502.0,498.0,497.0,505.0
Uruguay,URY,18930.9673,21300.97607,23572.17746,409.0,418.0,418.0,416.0,435.0,426.0,411.0,437.0,427.0
Vietnam,VNM,4949.131363,5989.75769,7447.814334,511.0,495.0,496.0,528.0,525.0,543.0,508.0,487.0,505.0
